Contest ID,Entry ID,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30227$nfl.g.13520096,Samaje,Perine,nfl.p.30227$nfl.g.13520096 - Samaje Perine,RB,KC,PIT,KC@PIT,1:00PM EST,10,4.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31114$nfl.g.13520096,Justin,Watson,nfl.p.31114$nfl.g.13520096 - Justin Watson,WR,KC,PIT,KC@PIT,1:00PM EST,10,3.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33550$nfl.g.13520096,Noah,Gray,nfl.p.33550$nfl.g.13520096 - Noah Gray,TE,KC,PIT,KC@PIT,1:00PM EST,12,6.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.34207$nfl.g.13520096,Isiah,Pacheco,nfl.p.34207$nfl.g.13520096 - Isiah Pacheco,RB,KC,PIT,KC@PIT,1:00PM EST,22,7.3,Q," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.40571$nfl.g.13520096,Nikko,Remigio,nfl.p.40571$nfl.g.13520096 - Nikko Remigio,WR,KC,PIT,KC@PIT,1:00PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.40877$nfl.g.13520096,Xavier,Worthy,nfl.p.40877$nfl.g.13520096 - Xavier Worthy,WR,KC,PIT,KC@PIT,1:00PM EST,22,9.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.41464$nfl.g.13520096,Carson,Steele,nfl.p.41464$nfl.g.13520096 - Carson Steele,RB,KC,PIT,KC@PIT,1:00PM EST,10,1.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.25785$nfl.g.13520096,Russell,Wilson,nfl.p.25785$nfl.g.13520096 - Russell Wilson,QB,PIT,KC,KC@PIT,1:00PM EST,27,16.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.26652$nfl.g.13520096,Cordarrelle,Patterson,nfl.p.26652$nfl.g.13520096 - Cordarrelle Patterson,RB,PIT,KC,KC@PIT,1:00PM EST,10,2.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.28531$nfl.g.13520096,MyCole,Pruitt,nfl.p.28531$nfl.g.13520096 - MyCole Pruitt,TE,PIT,KC,KC@PIT,1:00PM EST,10,1.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30120$nfl.g.13520096,Mike,Williams,nfl.p.30120$nfl.g.13520096 - Mike Williams,WR,PIT,KC,KC@PIT,1:00PM EST,10,3.3," "," "
