Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit
Chris Brooks,RB,MIA,NE,10,0.7,0.07,1 out of 5 stars,F
Julian Hill,TE,MIA,NE,10,0.3,0.03,4 out of 5 stars,F
Matthew Slater,WR,NE,MIA,10,0,0,2 out of 5 stars,F
DeVante Parker,WR,NE,MIA,15,5.6,0.3733,2 out of 5 stars,F
Hunter Henry,TE,NE,MIA,13,9.1,0.7,5 out of 5 stars,C
Kendrick Bourne,WR,NE,MIA,15,8.6,0.5733,2 out of 5 stars,C-
Mike Gesicki,TE,NE,MIA,12,5.6,0.4667,5 out of 5 stars,F
Mac Jones,QB,NE,MIA,22,15.1,0.6864,3 out of 5 stars,D
Rhamondre Stevenson,RB,NE,MIA,21,14.7,0.7,3 out of 5 stars,A-
Kayshon Boutte,WR,NE,MIA,10,5.3,0.53,2 out of 5 stars,F
Miami Dolphins,DEF,MIA,NE,12,6.4,0.5333,4 out of 5 stars,C-
New England Patriots,DEF,NE,MIA,20,6.3,0.315,2 out of 5 stars,D
Demario Douglas,WR,NE,MIA,10,3.2,0.32,2 out of 5 stars,F
Ezekiel Elliott,RB,NE,MIA,15,7.6,0.5067,3 out of 5 stars,D
Tyler Kroft,TE,MIA,NE,10,1,0.1,4 out of 5 stars,F
Pharaoh Brown,TE,NE,MIA,10,0.9,0.09,5 out of 5 stars,F
Bailey Zappe,QB,NE,MIA,20,0.1,0.005,3 out of 5 stars,F
Ty Montgomery II,WR,NE,MIA,10,2.1,0.21,3 out of 5 stars,F
Matt Corral,QB,NE,MIA,20,0,0,3 out of 5 stars,F
Derek Carr,QB,NO,CAR,27,15.6,0.5778,4 out of 5 stars,D+
Jameis Winston,QB,NO,CAR,20,0.4,0.02,4 out of 5 stars,F
Michael Thomas,WR,NO,CAR,20,11.8,0.59,4 out of 5 stars,C+
Jamaal Williams,RB,NO,CAR,19,12.2,0.6421,4 out of 5 stars,B-
Taysom Hill,QB,NO,CAR,20,5.3,0.265,3 out of 5 stars,F
Keith Kirkwood,WR,NO,CAR,10,0.6,0.06,4 out of 5 stars,F
Foster Moreau,TE,NO,CAR,10,2.1,0.21,3 out of 5 stars,F
Juwan Johnson,TE,NO,CAR,12,8.6,0.7167,3 out of 5 stars,D+
Kirk Merritt,WR,NO,CAR,10,0.2,0.02,4 out of 5 stars,F
Adam Prentice,RB,NO,CAR,10,0.6,0.06,4 out of 5 stars,F
Chris Olave,WR,NO,CAR,24,17.3,0.7208,4 out of 5 stars,A
Rashid Shaheed,WR,NO,CAR,20,9.6,0.48,4 out of 5 stars,C-
Andy Dalton,QB,CAR,NO,20,0.4,0.02,2 out of 5 stars,F
Adam Thielen,WR,CAR,NO,14,8.9,0.6357,2 out of 5 stars,D
Hayden Hurst,TE,CAR,NO,10,7.7,0.77,1 out of 5 stars,D-
Ian Thomas,TE,CAR,NO,10,1.1,0.11,1 out of 5 stars,F
Miles Sanders,RB,CAR,NO,17,12.9,0.7588,2 out of 5 stars,B
Giovanni Ricci,TE,CAR,NO,10,0.7,0.07,1 out of 5 stars,F
Tommy Tremble,TE,CAR,NO,10,1.5,0.15,1 out of 5 stars,F
Chuba Hubbard,RB,CAR,NO,12,6.5,0.5417,2 out of 5 stars,F
Raheem Blackshear,RB,CAR,NO,10,0.9,0.09,2 out of 5 stars,F
New Orleans Saints,DEF,NO,CAR,15,8.3,0.5533,3 out of 5 stars,A-
Carolina Panthers,DEF,CAR,NO,16,5.9,0.3688,4 out of 5 stars,D-
Jonathan Mingo,WR,CAR,NO,10,7.5,0.75,2 out of 5 stars,F
Jimmy Graham,TE,NO,CAR,10,1.1,0.11,3 out of 5 stars,F
Kendre Miller,RB,NO,CAR,13,3.2,0.2462,4 out of 5 stars,F
Bryce Young,QB,CAR,NO,21,13.4,0.6381,2 out of 5 stars,F
Marquise Goodwin,WR,CLE,PIT,10,1.1,0.11,3 out of 5 stars,F
Amari Cooper,WR,CLE,PIT,23,13.5,0.587,3 out of 5 stars,A-
Deshaun Watson,QB,CLE,PIT,30,17.4,0.58,4 out of 5 stars,C+
David Njoku,TE,CLE,PIT,14,9.6,0.6857,3 out of 5 stars,B-
Nick Chubb,RB,CLE,PIT,32,17.9,0.5594,3 out of 5 stars,A+
Jordan Akins,TE,CLE,PIT,10,2,0.2,3 out of 5 stars,F
Harrison Bryant,TE,CLE,PIT,10,3.3,0.33,3 out of 5 stars,F
Elijah Moore,WR,CLE,PIT,14,10.4,0.7429,3 out of 5 stars,C
David Bell,WR,CLE,PIT,10,0.7,0.07,3 out of 5 stars,F
Jerome Ford,RB,CLE,PIT,13,5.4,0.4154,3 out of 5 stars,F
Allen Robinson II,WR,PIT,CLE,13,8.9,0.6846,3 out of 5 stars,D
Mitch Trubisky,QB,PIT,CLE,20,0.4,0.02,2 out of 5 stars,F
Miles Boykin,WR,PIT,CLE,10,0.8,0.08,3 out of 5 stars,F
Gunner Olszewski,WR,PIT,CLE,10,0.3,0.03,3 out of 5 stars,F
Najee Harris,RB,PIT,CLE,19,12.7,0.6684,4 out of 5 stars,B
Pat Freiermuth,TE,PIT,CLE,14,9.2,0.6571,3 out of 5 stars,C+
Kenny Pickett,QB,PIT,CLE,24,14.4,0.6,2 out of 5 stars,F
George Pickens,WR,PIT,CLE,18,11.6,0.6444,3 out of 5 stars,C+
Calvin Austin III,WR,PIT,CLE,12,6.4,0.5333,3 out of 5 stars,F
Connor Heyward,TE,PIT,CLE,10,1.7,0.17,3 out of 5 stars,F
Jaylen Warren,RB,PIT,CLE,15,7.4,0.4933,4 out of 5 stars,D
Cleveland Browns,DEF,CLE,PIT,13,7.6,0.5846,3 out of 5 stars,B
Pittsburgh Steelers,DEF,PIT,CLE,14,7.2,0.5143,3 out of 5 stars,B-
Darnell Washington,TE,PIT,CLE,10,2.3,0.23,3 out of 5 stars,F
Cedric Tillman,WR,CLE,PIT,10,4.3,0.43,3 out of 5 stars,F
Mason Rudolph,QB,PIT,CLE,20,0,0,2 out of 5 stars,F
