PLAYER NAME,TEAM,SOS SEASON,SOS PLAYOFFS,PROJ. FPTS,ECR VS. ADP
Lawrence Cager,NYG,2 out of 5 stars,2 out of 5 stars,9.9,-
Jalen Guyton,LAC,4 out of 5 stars,4 out of 5 stars,8.8,-
Velus Jones Jr.,CHI,4 out of 5 stars,2 out of 5 stars,8.8,-
Denzel Mims,PIT,3 out of 5 stars,3 out of 5 stars,8.8,-
KJ Hamler,IND,3 out of 5 stars,3 out of 5 stars,8.8,-
Jarvis Landry,FA,-,-,7.7,-
Ihmir Smith-Marsette,CAR,3 out of 5 stars,2 out of 5 stars,7.7,-
Danny Gray,SF,2 out of 5 stars,4 out of 5 stars,6.6,-
Tim Jones,JAC,3 out of 5 stars,3 out of 5 stars,6.6,-
Scott Miller,ATL,5 out of 5 stars,4 out of 5 stars,6,-
Dax Milne,WAS,2 out of 5 stars,3 out of 5 stars,6,-
Dee Eskridge,SEA,3 out of 5 stars,4 out of 5 stars,5.5,-
Dareke Young,SEA,3 out of 5 stars,4 out of 5 stars,5.5,-
Miles Boykin,PIT,3 out of 5 stars,3 out of 5 stars,5.5,-
Rakim Jarrett,TB,4 out of 5 stars,2 out of 5 stars,5.5,-
Phillip Dorsett II,DEN,4 out of 5 stars,4 out of 5 stars,5,-
Trent Taylor,CHI,4 out of 5 stars,2 out of 5 stars,5,-
Gunner Olszewski,NYG,2 out of 5 stars,2 out of 5 stars,5,-64
Britain Covey,PHI,4 out of 5 stars,3 out of 5 stars,4.4,-
Dontay Demus Jr.,FA,-,-,4.4,-
Amari Rodgers,FA,-,-,4.4,-
Joseph Ngata,PHI,4 out of 5 stars,3 out of 5 stars,4.4,-96
Shi Smith,TEN,3 out of 5 stars,3 out of 5 stars,4.4,-
Mike Strachan,CAR,3 out of 5 stars,2 out of 5 stars,4.4,-
Cam Sims,FA,-,-,4.4,-
Dez Fitzpatrick,PIT,3 out of 5 stars,3 out of 5 stars,4.4,-
Kendric Pryor,CIN,4 out of 5 stars,3 out of 5 stars,4.4,-
Steven Sims Jr.,HOU,4 out of 5 stars,4 out of 5 stars,4.4,-
Dezmon Patmon,FA,-,-,4.4,-
Tyrie Cleveland,IND,3 out of 5 stars,3 out of 5 stars,4.4,-
James Proche II,FA,-,-,4.4,-
Kendall Hinton,FA,-,-,4.4,-
Anthony Schwartz,FA,-,-,4.4,-
Bryan Edwards,FA,-,-,4.4,-
Blake Proehl,FA,-,-,4.4,-
Dennis Houston,FA,-,-,4.4,-
David Sills V,DEN,4 out of 5 stars,4 out of 5 stars,4.4,-
Juwann Winfree,IND,3 out of 5 stars,3 out of 5 stars,4.4,-
Breshad Perriman,FA,-,-,4.4,-
Matthew Slater,NE,4 out of 5 stars,4 out of 5 stars,4.4,-94
Marcus Kemp,FA,-,-,4.4,-
Malik Turner,FA,-,-,4.4,-
DJ Turner,LV,3 out of 5 stars,4 out of 5 stars,4.4,-
Willie Snead IV,SF,2 out of 5 stars,4 out of 5 stars,4,-
Jalen Reagor,NE,4 out of 5 stars,4 out of 5 stars,4,-
Tre'Quan Smith,DEN,4 out of 5 stars,4 out of 5 stars,4,-
Travis Kelce,KC,4 out of 5 stars,4 out of 5 stars,167,0
Mark Andrews,BAL,4 out of 5 stars,3 out of 5 stars,120,0
T.J. Hockenson,MIN,3 out of 5 stars,3 out of 5 stars,118,0
Sam LaPorta,DET,3 out of 5 stars,3 out of 5 stars,114.4,+14
Dallas Goedert,PHI,3 out of 5 stars,3 out of 5 stars,100,+2
Darren Waller,NYG,5 out of 5 stars,5 out of 5 stars,95,-1
Evan Engram,JAC,2 out of 5 stars,2 out of 5 stars,92,+1
George Kittle,SF,3 out of 5 stars,3 out of 5 stars,89,-4
Kyle Pitts,ATL,2 out of 5 stars,3 out of 5 stars,88,-3
Jake Ferguson,DAL,5 out of 5 stars,3 out of 5 stars,85.8,+14
Cole Kmet,CHI,3 out of 5 stars,2 out of 5 stars,83,+3
Dalton Kincaid,BUF,3 out of 5 stars,4 out of 5 stars,82.5,-1
Logan Thomas,WAS,4 out of 5 stars,3 out of 5 stars,82,-
Dalton Schultz,HOU,2 out of 5 stars,3 out of 5 stars,81.4,-3
Luke Musgrave,GB,3 out of 5 stars,2 out of 5 stars,80.3,+10
David Njoku,CLE,3 out of 5 stars,4 out of 5 stars,79.2,-7
Jonnu Smith,ATL,2 out of 5 stars,3 out of 5 stars,72,+49
Gerald Everett,LAC,2 out of 5 stars,2 out of 5 stars,71.5,-3
Michael Mayer,LV,2 out of 5 stars,2 out of 5 stars,71.5,+6
Cade Otton,TB,3 out of 5 stars,3 out of 5 stars,70.4,+9
Tyler Higbee,LAR,3 out of 5 stars,4 out of 5 stars,69,-4
Hunter Henry,NE,3 out of 5 stars,2 out of 5 stars,69,+11
Pat Freiermuth,PIT,3 out of 5 stars,3 out of 5 stars,68.2,-14
Hayden Hurst,CAR,3 out of 5 stars,3 out of 5 stars,68.2,+2
Chigoziem Okonkwo,TEN,3 out of 5 stars,4 out of 5 stars,68.2,-11
Tyler Conklin,NYJ,4 out of 5 stars,4 out of 5 stars,68.2,-4
Taysom Hill,NO,3 out of 5 stars,3 out of 5 stars,64,0
Noah Fant,SEA,3 out of 5 stars,4 out of 5 stars,63.8,+1
Trey McBride,ARI,4 out of 5 stars,4 out of 5 stars,62,+10
Zach Ertz,ARI,4 out of 5 stars,4 out of 5 stars,61,-8
Juwan Johnson,NO,3 out of 5 stars,3 out of 5 stars,57,-16
Dawson Knox,BUF,3 out of 5 stars,4 out of 5 stars,55,-12
Mike Gesicki,NE,3 out of 5 stars,2 out of 5 stars,50,-10
Irv Smith Jr.,CIN,2 out of 5 stars,2 out of 5 stars,45.1,-6
