Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit
Erik Ezukanma,WR,MIA,DEN,10,0.6,0.06,2 out of 5 stars,F
Chris Brooks,RB,MIA,DEN,10,0.5,0.05,3 out of 5 stars,F
Julian Hill,TE,MIA,DEN,10,0.2,0.02,3 out of 5 stars,F
Denver Broncos,DEF,DEN,MIA,10,6.2,0.62,1 out of 5 stars,D
Miami Dolphins,DEF,MIA,DEN,10,7.4,0.74,5 out of 5 stars,B-
Jaleel McLaughlin,RB,DEN,MIA,10,2.8,0.28,3 out of 5 stars,F
Nate Adkins,TE,DEN,MIA,10,0.4,0.04,5 out of 5 stars,F
Tyler Kroft,TE,MIA,DEN,10,1.1,0.11,3 out of 5 stars,F
Dwayne Washington,RB,DEN,MIA,10,0.3,0.03,3 out of 5 stars,F
Matthew Slater,WR,NE,NYJ,10,0,0,2 out of 5 stars,F
DeVante Parker,WR,NE,NYJ,15,6.6,0.44,2 out of 5 stars,D-
Hunter Henry,TE,NE,NYJ,14,7.1,0.5071,3 out of 5 stars,C
Kendrick Bourne,WR,NE,NYJ,16,7.3,0.4562,2 out of 5 stars,D+
Mike Gesicki,TE,NE,NYJ,10,4.3,0.43,3 out of 5 stars,F
Mac Jones,QB,NE,NYJ,26,13.9,0.5346,2 out of 5 stars,F
Rhamondre Stevenson,RB,NE,NYJ,20,13.1,0.655,2 out of 5 stars,A-
Kayshon Boutte,WR,NE,NYJ,10,2.5,0.25,2 out of 5 stars,F
Randall Cobb,WR,NYJ,NE,10,2.7,0.27,3 out of 5 stars,F
Tyler Conklin,TE,NYJ,NE,10,3.4,0.34,4 out of 5 stars,F
Allen Lazard,WR,NYJ,NE,12,5.8,0.4833,3 out of 5 stars,F
Zach Wilson,QB,NYJ,NE,20,12.6,0.63,3 out of 5 stars,F
Michael Carter,RB,NYJ,NE,10,3.9,0.39,1 out of 5 stars,F
Garrett Wilson,WR,NYJ,NE,17,10.9,0.6412,3 out of 5 stars,B
Breece Hall,RB,NYJ,NE,24,10.6,0.4417,1 out of 5 stars,C+
Jeremy Ruckert,TE,NYJ,NE,10,0.8,0.08,4 out of 5 stars,F
Jason Brownlee,WR,NYJ,NE,10,0,0,3 out of 5 stars,F
Xavier Gipson,WR,NYJ,NE,10,0,0,3 out of 5 stars,F
New England Patriots,DEF,NE,NYJ,13,8.3,0.6385,3 out of 5 stars,A-
New York Jets,DEF,NYJ,NE,22,8,0.3636,5 out of 5 stars,B
Demario Douglas,WR,NE,NYJ,10,3.6,0.36,2 out of 5 stars,F
Israel Abanikanda,RB,NYJ,NE,10,0.4,0.04,1 out of 5 stars,F
Ezekiel Elliott,RB,NE,NYJ,13,5.8,0.4462,2 out of 5 stars,D
Dalvin Cook,RB,NYJ,NE,11,7.3,0.6636,1 out of 5 stars,C-
Nick Bawden,RB,NYJ,NE,10,0.3,0.03,1 out of 5 stars,F
Pharaoh Brown,TE,NE,NYJ,10,0.7,0.07,3 out of 5 stars,F
Ty Montgomery II,WR,NE,NYJ,10,1.5,0.15,2 out of 5 stars,F
Jalen Reagor,WR,NE,NYJ,10,0,0,2 out of 5 stars,F
Robert Woods,WR,HOU,JAC,14,7.5,0.5357,3 out of 5 stars,D+
Dare Ogunbowale,RB,HOU,JAC,10,1.4,0.14,4 out of 5 stars,F
Dalton Schultz,TE,HOU,JAC,17,6,0.3529,4 out of 5 stars,D-
Mike Boone,RB,HOU,JAC,10,0.7,0.07,4 out of 5 stars,F
Devin Singletary,RB,HOU,JAC,10,4.8,0.48,4 out of 5 stars,F
Andrew Beck,RB,HOU,JAC,10,0.4,0.04,4 out of 5 stars,F
Nico Collins,WR,HOU,JAC,18,10.8,0.6,3 out of 5 stars,B
Brevin Jordan,TE,HOU,JAC,10,1.5,0.15,4 out of 5 stars,F
John Metchie III,WR,HOU,JAC,10,2.7,0.27,3 out of 5 stars,F
Dameon Pierce,RB,HOU,JAC,13,10.3,0.7923,4 out of 5 stars,C+
Teagan Quitoriano,TE,HOU,JAC,10,1.2,0.12,4 out of 5 stars,F
Xavier Hutchinson,WR,HOU,JAC,10,1.1,0.11,3 out of 5 stars,F
Evan Engram,TE,JAC,HOU,20,8.1,0.405,3 out of 5 stars,B
Jamal Agnew,WR,JAC,HOU,10,2.2,0.22,3 out of 5 stars,F
Calvin Ridley,WR,JAC,HOU,24,13.1,0.5458,3 out of 5 stars,A
Christian Kirk,WR,JAC,HOU,20,9.8,0.49,3 out of 5 stars,B-
JaMycal Hasty,RB,JAC,HOU,10,0.3,0.03,4 out of 5 stars,F
Trevor Lawrence,QB,JAC,HOU,30,18.8,0.6267,2 out of 5 stars,B
Luke Farrell,TE,JAC,HOU,10,0.6,0.06,3 out of 5 stars,F
Tim Jones,WR,JAC,HOU,10,0.5,0.05,3 out of 5 stars,F
Parker Washington,WR,JAC,HOU,10,0,0,3 out of 5 stars,F
Elijah Cooks,WR,JAC,HOU,10,0,0,3 out of 5 stars,F
Houston Texans,DEF,HOU,JAC,14,5.3,0.3786,4 out of 5 stars,F
Jacksonville Jaguars,DEF,JAC,HOU,17,7.4,0.4353,5 out of 5 stars,B
Tank Bigsby,RB,JAC,HOU,16,5.2,0.325,4 out of 5 stars,D-
Brenton Strange,TE,JAC,HOU,10,1.2,0.12,3 out of 5 stars,F
Tank Dell,WR,HOU,JAC,15,7.5,0.5,3 out of 5 stars,C-
Ryan Tannehill,QB,TEN,CLE,23,13.3,0.5783,2 out of 5 stars,F
Derrick Henry,RB,TEN,CLE,30,15,0.5,4 out of 5 stars,A
Chris Moore,WR,TEN,CLE,10,2.3,0.23,3 out of 5 stars,F
Trevon Wesco,TE,TEN,CLE,10,0.8,0.08,3 out of 5 stars,F
Treylon Burks,WR,TEN,CLE,13,7.7,0.5923,3 out of 5 stars,C
Chigoziem Okonkwo,TE,TEN,CLE,12,5.8,0.4833,3 out of 5 stars,F
Julius Chestnut,RB,TEN,CLE,10,0.5,0.05,4 out of 5 stars,F
Josh Whyle,TE,TEN,CLE,10,0.7,0.07,3 out of 5 stars,F
Colton Dowell,WR,TEN,CLE,10,0.2,0.02,3 out of 5 stars,F
Marquise Goodwin,WR,CLE,TEN,10,1.2,0.12,4 out of 5 stars,F
Amari Cooper,WR,CLE,TEN,24,11.6,0.4833,4 out of 5 stars,A-
Deshaun Watson,QB,CLE,TEN,30,17.3,0.5767,3 out of 5 stars,C+
David Njoku,TE,CLE,TEN,15,7.5,0.5,3 out of 5 stars,C
Jordan Akins,TE,CLE,TEN,11,1.4,0.1273,3 out of 5 stars,F
Harrison Bryant,TE,CLE,TEN,10,2.2,0.22,3 out of 5 stars,F
Elijah Moore,WR,CLE,TEN,17,9,0.5294,4 out of 5 stars,C
David Bell,WR,CLE,TEN,10,1.4,0.14,4 out of 5 stars,F
Jerome Ford,RB,CLE,TEN,10,10.7,1.07,1 out of 5 stars,C+
Tennessee Titans,DEF,TEN,CLE,15,6.7,0.4467,5 out of 5 stars,D+
Cleveland Browns,DEF,CLE,TEN,15,7.8,0.52,5 out of 5 stars,B
Cedric Tillman,WR,CLE,TEN,10,3.4,0.34,4 out of 5 stars,F
Tyjae Spears,RB,TEN,CLE,15,6.7,0.4467,4 out of 5 stars,D
DeAndre Hopkins,WR,TEN,CLE,15,10.2,0.68,3 out of 5 stars,B
Cordarrelle Patterson,RB,ATL,DET,13,0.7,0.0538,4 out of 5 stars,F
Keith Smith,RB,ATL,DET,10,0.3,0.03,4 out of 5 stars,F
Taylor Heinicke,QB,ATL,DET,20,0.5,0.025,4 out of 5 stars,F
Jonnu Smith,TE,ATL,DET,10,2.9,0.29,4 out of 5 stars,F
Mack Hollins,WR,ATL,DET,12,6.4,0.5333,3 out of 5 stars,F
KhaDarel Hodge,WR,ATL,DET,10,0.8,0.08,3 out of 5 stars,F
Scott Miller,WR,ATL,DET,10,0.7,0.07,3 out of 5 stars,F
Kyle Pitts,TE,ATL,DET,13,7,0.5385,4 out of 5 stars,C
Drake London,WR,ATL,DET,16,10.1,0.6312,3 out of 5 stars,B-
Desmond Ridder,QB,ATL,DET,21,13.5,0.6429,4 out of 5 stars,F
Tyler Allgeier,RB,ATL,DET,18,10,0.5556,4 out of 5 stars,C
John FitzPatrick,TE,ATL,DET,10,0.2,0.02,4 out of 5 stars,F
Josh Ali,WR,ATL,DET,10,0,0,3 out of 5 stars,F
Bijan Robinson,RB,ATL,DET,25,16.4,0.656,4 out of 5 stars,A+
Jared Goff,QB,DET,ATL,27,17.6,0.6519,5 out of 5 stars,B-
Kalif Raymond,WR,DET,ATL,10,4.1,0.41,4 out of 5 stars,F
Josh Reynolds,WR,DET,ATL,15,7.7,0.5133,4 out of 5 stars,C
David Montgomery,RB,DET,ATL,19,1.8,0.0947,4 out of 5 stars,F
Brock Wright,TE,DET,ATL,10,2.1,0.21,3 out of 5 stars,F
James Mitchell,TE,DET,ATL,10,0.9,0.09,3 out of 5 stars,F
Atlanta Falcons,DEF,ATL,DET,16,5.6,0.35,3 out of 5 stars,F
Detroit Lions,DEF,DET,ATL,14,5.9,0.4214,1 out of 5 stars,D-
Antoine Green,WR,DET,ATL,10,0.2,0.02,4 out of 5 stars,F
Sam LaPorta,TE,DET,ATL,15,7.9,0.5267,3 out of 5 stars,B-
Jahmyr Gibbs,RB,DET,ATL,20,14,0.7,4 out of 5 stars,A
MyCole Pruitt,TE,ATL,DET,10,0.7,0.07,4 out of 5 stars,F
Craig Reynolds,RB,DET,ATL,10,5.6,0.56,4 out of 5 stars,D+
Godwin Igwebuike,RB,PIT,DET,10,0.3,0.03,4 out of 5 stars,F
Derek Carr,QB,NO,GB,23,15.1,0.6565,2 out of 5 stars,D
Michael Thomas,WR,NO,GB,16,9.7,0.6062,2 out of 5 stars,C+
Taysom Hill,QB,NO,GB,20,6.1,0.305,4 out of 5 stars,D
Keith Kirkwood,WR,NO,GB,10,0.3,0.03,2 out of 5 stars,F
Foster Moreau,TE,NO,GB,10,1.7,0.17,4 out of 5 stars,F
Juwan Johnson,TE,NO,GB,11,6.1,0.5545,4 out of 5 stars,D-
Kirk Merritt,WR,NO,GB,10,0.2,0.02,2 out of 5 stars,F
Adam Prentice,RB,NO,GB,10,1.4,0.14,4 out of 5 stars,F
Chris Olave,WR,NO,GB,21,12.9,0.6143,2 out of 5 stars,A
Rashid Shaheed,WR,NO,GB,17,8.3,0.4882,2 out of 5 stars,C
Aaron Jones,RB,GB,NO,21,9.6,0.4571,2 out of 5 stars,C+
Jordan Love,QB,GB,NO,24,15.5,0.6458,2 out of 5 stars,D+
AJ Dillon,RB,GB,NO,16,9.5,0.5938,2 out of 5 stars,C
Josiah Deguara,TE,GB,NO,10,1.4,0.14,1 out of 5 stars,F
Christian Watson,WR,GB,NO,18,7.1,0.3944,2 out of 5 stars,C-
Romeo Doubs,WR,GB,NO,16,8.2,0.5125,2 out of 5 stars,C
Samori Toure,WR,GB,NO,10,2.2,0.22,2 out of 5 stars,F
Malik Heath,WR,GB,NO,10,0.6,0.06,2 out of 5 stars,F
New Orleans Saints,DEF,NO,GB,14,7.1,0.5071,1 out of 5 stars,C
Green Bay Packers,DEF,GB,NO,19,6.9,0.3632,4 out of 5 stars,C
Dontayvion Wicks,WR,GB,NO,10,2.8,0.28,2 out of 5 stars,F
Tucker Kraft,TE,GB,NO,10,1.2,0.12,1 out of 5 stars,F
Emanuel Wilson,RB,GB,NO,10,2.1,0.21,2 out of 5 stars,F
Jimmy Graham,TE,NO,GB,10,0.7,0.07,4 out of 5 stars,F
Kendre Miller,RB,NO,GB,16,6.6,0.4125,4 out of 5 stars,D+
Jayden Reed,WR,GB,NO,15,7.8,0.52,2 out of 5 stars,C
Luke Musgrave,TE,GB,NO,10,6.3,0.63,1 out of 5 stars,D
Ben Sims,TE,GB,NO,10,0.3,0.03,1 out of 5 stars,F
Latavius Murray,RB,BUF,WAS,10,4.8,0.48,2 out of 5 stars,F
Stefon Diggs,WR,BUF,WAS,28,15.7,0.5607,3 out of 5 stars,A+
Josh Allen,QB,BUF,WAS,36,22.1,0.6139,4 out of 5 stars,A
Trent Sherfield,WR,BUF,WAS,10,2.6,0.26,3 out of 5 stars,F
Damien Harris,RB,BUF,WAS,11,4.8,0.4364,2 out of 5 stars,F
Dawson Knox,TE,BUF,WAS,14,5.7,0.4071,1 out of 5 stars,F
Deonte Harty,WR,BUF,WAS,10,2.8,0.28,3 out of 5 stars,F
Gabe Davis,WR,BUF,WAS,16,9.5,0.5938,3 out of 5 stars,C+
Reggie Gilliam,RB,BUF,WAS,10,0.6,0.06,2 out of 5 stars,F
Quintin Morris,TE,BUF,WAS,10,0.8,0.08,1 out of 5 stars,F
James Cook,RB,BUF,WAS,18,12.8,0.7111,2 out of 5 stars,A-
Khalil Shakir,WR,BUF,WAS,10,2.4,0.24,3 out of 5 stars,F
Jacoby Brissett,QB,WAS,BUF,20,0.5,0.025,2 out of 5 stars,F
Curtis Samuel,WR,WAS,BUF,11,6.1,0.5545,4 out of 5 stars,F
Terry McLaurin,WR,WAS,BUF,19,10.3,0.5421,4 out of 5 stars,B
Antonio Gibson,RB,WAS,BUF,13,6.6,0.5077,3 out of 5 stars,D
Dyami Brown,WR,WAS,BUF,10,2.1,0.21,4 out of 5 stars,F
John Bates,TE,WAS,BUF,10,2.6,0.26,2 out of 5 stars,F
Jahan Dotson,WR,WAS,BUF,18,9.6,0.5333,4 out of 5 stars,C+
Sam Howell,QB,WAS,BUF,28,14.7,0.525,2 out of 5 stars,D-
Cole Turner,TE,WAS,BUF,10,3.3,0.33,2 out of 5 stars,F
Curtis Hodges,TE,WAS,BUF,10,0.4,0.04,2 out of 5 stars,F
Mitchell Tinsley,WR,WAS,BUF,10,0.2,0.02,4 out of 5 stars,F
Buffalo Bills,DEF,BUF,WAS,15,8.2,0.5467,5 out of 5 stars,B+
Washington Commanders,DEF,WAS,BUF,20,6.7,0.335,3 out of 5 stars,D+
Dalton Kincaid,TE,BUF,WAS,13,6.9,0.5308,1 out of 5 stars,C-
Byron Pringle,WR,WAS,BUF,10,0.3,0.03,4 out of 5 stars,F
Jamison Crowder,WR,WAS,BUF,10,0,0,4 out of 5 stars,F
Kirk Cousins,QB,MIN,LAC,32,20.1,0.6281,4 out of 5 stars,B+
Johnny Mundt,TE,MIN,LAC,10,0.5,0.05,3 out of 5 stars,F
Brandon Powell,WR,MIN,LAC,10,0.2,0.02,2 out of 5 stars,F
Josh Oliver,TE,MIN,LAC,10,2.3,0.23,3 out of 5 stars,F
Alexander Mattison,RB,MIN,LAC,15,11.7,0.78,4 out of 5 stars,B
Justin Jefferson,WR,MIN,LAC,43,18.6,0.4326,2 out of 5 stars,A+
Ty Chandler,RB,MIN,LAC,12,4.3,0.3583,4 out of 5 stars,F
Nick Muse,TE,MIN,LAC,10,0.3,0.03,3 out of 5 stars,F
Los Angeles Chargers,DEF,LAC,MIN,10,5.7,0.57,2 out of 5 stars,F
Minnesota Vikings,DEF,MIN,LAC,10,5,0.5,2 out of 5 stars,F
Jordan Addison,WR,MIN,LAC,22,9.9,0.45,2 out of 5 stars,B-
Keenan Allen,WR,LAC,MIN,27,13.9,0.5148,3 out of 5 stars,A
Mike Williams,WR,LAC,MIN,20,12.3,0.615,3 out of 5 stars,A
Gerald Everett,TE,LAC,MIN,14,6.2,0.4429,4 out of 5 stars,D
Justin Herbert,QB,LAC,MIN,30,20.6,0.6867,4 out of 5 stars,A
Joshua Kelley,RB,LAC,MIN,18,11.6,0.6444,3 out of 5 stars,B
Joshua Palmer,WR,LAC,MIN,10,5.8,0.58,3 out of 5 stars,F
Isaiah Spiller,RB,LAC,MIN,10,2.3,0.23,3 out of 5 stars,F
Stone Smartt,TE,LAC,MIN,10,1,0.1,4 out of 5 stars,F
Quentin Johnston,WR,LAC,MIN,10,5.6,0.56,3 out of 5 stars,F
Derius Davis,WR,LAC,MIN,10,0.5,0.05,3 out of 5 stars,F
Elijah Dotson,RB,LAC,MIN,10,2.9,0.29,3 out of 5 stars,F
Myles Gaskin,RB,MIN,LAC,11,1.4,0.1273,4 out of 5 stars,F
Andy Dalton,QB,CAR,SEA,20,12.1,0.605,4 out of 5 stars,F
Adam Thielen,WR,CAR,SEA,15,7.5,0.5,3 out of 5 stars,C-
Hayden Hurst,TE,CAR,SEA,14,6.3,0.45,3 out of 5 stars,D
Ian Thomas,TE,CAR,SEA,10,1.1,0.11,3 out of 5 stars,F
Miles Sanders,RB,CAR,SEA,19,12.6,0.6632,4 out of 5 stars,B+
Giovanni Ricci,TE,CAR,SEA,10,0.4,0.04,3 out of 5 stars,F
Tommy Tremble,TE,CAR,SEA,10,1.2,0.12,3 out of 5 stars,F
Chuba Hubbard,RB,CAR,SEA,15,6.9,0.46,4 out of 5 stars,D+
Raheem Blackshear,RB,CAR,SEA,10,1.1,0.11,4 out of 5 stars,F
Geno Smith,QB,SEA,CAR,27,17.1,0.6333,4 out of 5 stars,C+
Tyler Lockett,WR,SEA,CAR,20,11.9,0.595,4 out of 5 stars,A-
Will Dissly,TE,SEA,CAR,10,2.4,0.24,3 out of 5 stars,F
Noah Fant,TE,SEA,CAR,10,4.3,0.43,3 out of 5 stars,F
DK Metcalf,WR,SEA,CAR,18,12.2,0.6778,4 out of 5 stars,A
Cody Thompson,WR,SEA,CAR,10,0.2,0.02,4 out of 5 stars,F
Colby Parkinson,TE,SEA,CAR,10,2.3,0.23,3 out of 5 stars,F
DeeJay Dallas,RB,SEA,CAR,10,3.2,0.32,4 out of 5 stars,F
Kenneth Walker III,RB,SEA,CAR,25,14.9,0.596,4 out of 5 stars,A
Jake Bobo,WR,SEA,CAR,10,0.3,0.03,4 out of 5 stars,F
Carolina Panthers,DEF,CAR,SEA,12,5.9,0.4917,2 out of 5 stars,D-
Seattle Seahawks,DEF,SEA,CAR,11,7.4,0.6727,5 out of 5 stars,C+
Jonathan Mingo,WR,CAR,SEA,13,6.1,0.4692,3 out of 5 stars,F
Zach Charbonnet,RB,SEA,CAR,17,5.1,0.3,4 out of 5 stars,D-
Robert Tonyan,TE,CHI,KC,10,1.5,0.15,4 out of 5 stars,F
DJ Moore,WR,CHI,KC,17,10.4,0.6118,3 out of 5 stars,B
Travis Homer,RB,CHI,KC,10,0.5,0.05,3 out of 5 stars,F
Khari Blasingame,RB,CHI,KC,10,0.3,0.03,3 out of 5 stars,F
Cole Kmet,TE,CHI,KC,16,6.4,0.4,4 out of 5 stars,D
Chase Claypool,WR,CHI,KC,12,4.7,0.3917,3 out of 5 stars,F
Darnell Mooney,WR,CHI,KC,15,6.5,0.4333,3 out of 5 stars,D-
Justin Fields,QB,CHI,KC,32,18.3,0.5719,4 out of 5 stars,B
Khalil Herbert,RB,CHI,KC,19,9.4,0.4947,3 out of 5 stars,C
Travis Kelce,TE,KC,CHI,32,15.2,0.475,3 out of 5 stars,A+
Jerick McKinnon,RB,KC,CHI,15,5.9,0.3933,4 out of 5 stars,D
Blake Bell,TE,KC,CHI,10,0.9,0.09,3 out of 5 stars,F
Patrick Mahomes,QB,KC,CHI,37,24.9,0.673,5 out of 5 stars,A+
Justin Watson,WR,KC,CHI,10,4.3,0.43,4 out of 5 stars,F
Kadarius Toney,WR,KC,CHI,13,7.3,0.5615,4 out of 5 stars,D+
Noah Gray,TE,KC,CHI,10,3.8,0.38,3 out of 5 stars,F
Skyy Moore,WR,KC,CHI,16,7.5,0.4688,4 out of 5 stars,C-
Isiah Pacheco,RB,KC,CHI,20,11.7,0.585,4 out of 5 stars,B
Justyn Ross,WR,KC,CHI,10,3.5,0.35,4 out of 5 stars,F
Chicago Bears,DEF,CHI,KC,10,4.7,0.47,3 out of 5 stars,F
Kansas City Chiefs,DEF,KC,CHI,14,8.4,0.6,5 out of 5 stars,A
Tyler Scott,WR,CHI,KC,10,1.8,0.18,3 out of 5 stars,F
Roschon Johnson,RB,CHI,KC,12,7.8,0.65,3 out of 5 stars,C-
Rashee Rice,WR,KC,CHI,12,5.7,0.475,4 out of 5 stars,F
Marcedes Lewis,TE,CHI,KC,10,0.4,0.04,4 out of 5 stars,F
Trent Taylor,WR,CHI,KC,10,0.6,0.06,3 out of 5 stars,F
Brandin Cooks,WR,DAL,ARI,16,4.1,0.2562,4 out of 5 stars,F
Dak Prescott,QB,DAL,ARI,30,17.9,0.5967,4 out of 5 stars,B-
Michael Gallup,WR,DAL,ARI,10,6.1,0.61,4 out of 5 stars,F
Tony Pollard,RB,DAL,ARI,32,18.1,0.5656,4 out of 5 stars,A+
CeeDee Lamb,WR,DAL,ARI,27,15.6,0.5778,4 out of 5 stars,A+
Rico Dowdle,RB,DAL,ARI,13,4.3,0.3308,4 out of 5 stars,F
Jalen Tolbert,WR,DAL,ARI,10,2.8,0.28,4 out of 5 stars,F
Jake Ferguson,TE,DAL,ARI,11,6.6,0.6,4 out of 5 stars,D+
Peyton Hendershot,TE,DAL,ARI,10,1.6,0.16,4 out of 5 stars,F
KaVontae Turpin,WR,DAL,ARI,10,1.8,0.18,4 out of 5 stars,F
Luke Schoonmaker,TE,DAL,ARI,10,2.1,0.21,4 out of 5 stars,F
Deuce Vaughn,RB,DAL,ARI,10,3.7,0.37,4 out of 5 stars,F
Jalen Brooks,WR,DAL,ARI,10,0.3,0.03,4 out of 5 stars,F
Zach Ertz,TE,ARI,DAL,15,6.9,0.46,1 out of 5 stars,D+
James Conner,RB,ARI,DAL,16,11.2,0.7,2 out of 5 stars,B-
Zach Pascal,WR,ARI,DAL,10,1.3,0.13,4 out of 5 stars,F
Marquise Brown,WR,ARI,DAL,12,8.8,0.7333,4 out of 5 stars,C
Greg Dortch,WR,ARI,DAL,10,0.9,0.09,4 out of 5 stars,F
Rondale Moore,WR,ARI,DAL,10,5.7,0.57,4 out of 5 stars,F
Trey McBride,TE,ARI,DAL,10,3.9,0.39,1 out of 5 stars,F
Keaontay Ingram,RB,ARI,DAL,10,3.2,0.32,2 out of 5 stars,F
Michael Wilson,WR,ARI,DAL,11,5,0.4545,4 out of 5 stars,F
Clayton Tune,QB,ARI,DAL,20,6.1,0.305,1 out of 5 stars,F
