Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD,,Pas Yds,Pas TD,Ints,Yds,Rec,TDs,Pred TDs,FPTS,FPROS,Salary,Avg,PPD
Rico Dowdle,RB,DAL,CAR,26,14.5,0.558,4 out of 5 stars,B+,10,8.2,0.39375,,,,,93,2.3,-120,0.545454546,14.94236364,14.5,26,14.81,0.5696
Rhamondre Stevenson,RB,NE,ARI,24,13.1,0.546,3 out of 5 stars,B-,10,8.2,0.35,,,,,62,2.5,110,0.476190476,11.28628571,13.1,24,11.83,0.4929
Zach Charbonnet,RB,SEA,GB,18,13.8,0.767,3 out of 5 stars,B+,10,8.2,0.7,,,,,90,4.5,-125,0.555555556,15.92666667,13.8,18,15.289,0.8494
Travis Etienne Jr,RB,JAC,NYJ,17,8.6,0.506,2 out of 5 stars,C,10,8.2,0.057142857,,,,,40,2.5,155,0.392156863,8.369411765,8.6,17,8.439,0.4964
Jerome Ford,RB,CLE,KC,15,7.7,0.513,1 out of 5 stars,C-,10,8.2,-0.1,,,,,48,2.5,310,0.243902439,8.185560976,7.7,15,8.04,0.536
Justice Hill,RB,BAL,NYG,14,7,0.5,4 out of 5 stars,D+,10,8.2,-0.3,,,,,29,1.7,475,0.173913044,5.236434783,7,14,5.766,0.4118
Isaiah Davis,RB,NYJ,JAC,10,8.2,0.82,3 out of 5 stars,C-,10,8.2,0,,,,,,,,,,8.2,10,2.46,0.246
Ja Marr Chase,WR,CIN,TEN,42,17.1,0.407,2 out of 5 stars,A+,10,8.2,0.278125,,,,,89,7.4,-140,0.583333333,17.638,17.1,42,17.477,0.4161
Nico Collins,WR,HOU,MIA,36,15.6,0.433,3 out of 5 stars,A+,10,8.2,0.284615385,,,,,88,6.4,125,0.444444444,16.00533333,15.6,36,15.884,0.4412
Justin Jefferson,WR,MIN,CHI,34,14.9,0.438,3 out of 5 stars,A+,10,8.2,0.279166667,,,,,81,6.4,100,0.5,15.65,14.9,34,15.425,0.4537
Amon Ra St Brown,WR,DET,BUF,33,14.6,0.442,4 out of 5 stars,A+,10,8.2,0.27826087,,,,,68,6.3,100,0.5,14.216,14.6,33,14.331,0.4343
Tyreek Hill,WR,MIA,HOU,30,13.4,0.447,4 out of 5 stars,A,10,8.2,0.26,,,,,71,5.5,140,0.416666667,13.506,13.4,30,13.474,0.4491
Mike Evans,WR,TB,LAC,29,13.2,0.455,3 out of 5 stars,A,10,8.2,0.263157895,,,,,68,5.4,140,0.416666667,13.132,13.2,29,13.152,0.4535
CeeDee Lamb,WR,DAL,CAR,28,12.5,0.446,2 out of 5 stars,A,10,8.2,0.238888889,,,,,64,5.6,175,0.363636364,12.45090909,12.5,28,12.466,0.4452
Davante Adams,WR,NYJ,JAC,28,12.3,0.439,3 out of 5 stars,A,10,8.2,0.227777778,,,,,64,5.5,140,0.416666667,12.764,12.3,28,12.625,0.4509
Ladd McConkey,WR,LAC,TB,28,12.2,0.436,3 out of 5 stars,A-,10,8.2,0.222222222,,,,,72,5.6,155,0.392156863,13.49741176,12.2,28,13.108,0.4681
Malik Nabers,WR,NYG,BAL,27,12.1,0.448,3 out of 5 stars,A-,10,8.2,0.229411765,,,,,64,5.6,255,0.281690141,11.88056338,12.1,27,11.946,0.4425
Garrett Wilson,WR,NYJ,JAC,26,12.2,0.469,3 out of 5 stars,A-,10,8.2,0.25,,,,,58,5.4,160,0.384615385,11.84892308,12.2,26,11.954,0.4598
DK Metcalf,WR,SEA,GB,25,11.8,0.472,2 out of 5 stars,B+,10,8.2,0.24,,,,,62,4.5,170,0.37037037,11.66977778,11.8,25,11.709,0.4684
Calvin Ridley,WR,TEN,CIN,23,12.1,0.526,3 out of 5 stars,B+,10,8.2,0.3,,,,,64,4.5,165,0.377358491,11.93041509,12.1,23,11.981,0.5209
Jayden Reed,WR,GB,SEA,19,10,0.526,3 out of 5 stars,B-,10,8.2,0.2,,,,,42,3.5,220,0.3125,8.587,10,19,9.011,0.4743
Joshua Palmer,WR,LAC,TB,13,7.3,0.562,3 out of 5 stars,D+,10,8.2,-0.3,,,,,38,3.3,180,0.357142857,8.361714286,7.3,13,8.043,0.6187
Jalen McMillan,WR,TB,LAC,13,7,0.539,3 out of 5 stars,D,10,8.2,-0.4,,,,,33,2.7,220,0.3125,6.85125,7,13,6.896,0.5305
Tyler Boyd,WR,TEN,CIN,10,5.2,0.52,3 out of 5 stars,F,10,8.2,0,,,,,24,2.5,350,0.222222222,4.983333333,5.2,10,5.048,0.5048
Mike Williams,WR,PIT,PHI,10,5,0.5,2 out of 5 stars,F,10,8.2,0,,,,,21,1.6,550,0.153846154,3.823076923,5,10,4.176,0.4176
Dontayvion Wicks,WR,GB,SEA,12,6.3,0.525,3 out of 5 stars,D-,10,8.2,-0.95,,,,,22,1.8,265,0.273972603,4.743835616,6.3,12,5.211,0.4342
Tyler Lockett,WR,SEA,GB,12,6.2,0.517,2 out of 5 stars,D-,10,8.2,-1,,,,,22,2.4,370,0.212765957,4.676595745,6.2,12,5.134,0.4278
Brock Bowers,TE,LV,ATL,28,12.8,0.457,4 out of 5 stars,A+,10,5.8,0.388888889,,,,,64,,162,0.381679389,8.690076336,12.8,28,9.923,0.3544
Trey McBride,TE,ARI,NE,25,11.5,0.46,3 out of 5 stars,A,10,5.8,0.38,,,,,61,6.4,165,0.377358491,11.56415094,11.5,25,11.545,0.4618
Travis Kelce,TE,KC,CLE,20,11,0.55,3 out of 5 stars,A-,10,5.8,0.52,,,,,53,5.5,145,0.408163265,10.49897959,11,20,10.649,0.5325
T J Hockenson,TE,MIN,CHI,17,8.7,0.512,3 out of 5 stars,B,10,5.8,0.414285714,,,,,42,3.6,210,0.322580645,7.935483871,8.7,17,8.165,0.4803
Kyle Pitts,TE,ATL,LV,12,6.5,0.542,4 out of 5 stars,D+,10,5.8,0.35,,,,,28,2.5,250,0.285714286,5.764285714,6.5,12,5.985,0.4988
Grant Calcaterra,TE,PHI,PIT,10,5.8,0.58,4 out of 5 stars,F,10,5.8,0,,,,,20,2.5,550,0.153846154,4.173076923,5.8,10,4.661,0.4661
Tucker Kraft,TE,GB,SEA,17,8.6,0.506,4 out of 5 stars,B-,10,5.8,0.4,,,,,32,3.4,230,0.303030303,6.718181818,8.6,17,7.283,0.4284
Hunter Henry,TE,NE,ARI,16,7.9,0.494,2 out of 5 stars,C,10,5.8,0.35,,,,,43.5,4.5,280,0.263157895,8.178947368,7.9,16,8.095,0.506
Cade Otton,TE,TB,LAC,16,7.7,0.481,2 out of 5 stars,C,10,5.8,0.316666667,,,,,38,4.4,245,0.289855073,7.739130435,7.7,16,7.727,0.483
Pat Freiermuth,TE,PIT,PHI,15,7.6,0.507,3 out of 5 stars,C-,10,5.8,0.36,,,,,32,3.5,300,0.25,6.45,7.6,15,6.795,0.453
Jaleel McLaughlin,RB,DEN,IND,10,7.8,0.78,3 out of 5 stars,C-,10,8.2,0,,,,,40,1.1,250,0.285714286,6.264285714,7.8,10,6.725,0.6725
