Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD,,Pas Yds,Pas TD,Ints,Yds,Rec,TDs,Pred TDs,FPTS,FPROS,Salary,Avg,PPD
DeVonta Smith,WR,PHI,WAS,24,11,0.458,3 out of 5 stars,B,10,8.3,0.192857143,,,,,52,4.5,175,0.363636364,10.56290909,11,24,10.694,0.4456
D K Metcalf,WR,SEA,MIN,23,10.7,0.465,3 out of 5 stars,B,10,8.3,0.184615385,,,,,64,4.7,210,0.322580645,11.66116129,10.7,23,11.373,0.4945
Marvin Harrison,WR,ARI,CAR,21,10,0.476,3 out of 5 stars,B-,10,8.3,0.154545455,,,,,52,3.6,130,0.434782609,10.55408696,10,21,10.388,0.4947
Wan Dale Robinson,WR,NYG,ATL,15,7.4,0.493,4 out of 5 stars,C-,10,8.3,-0.18,,,,,35,4.5,400,0.2,7.622,7.4,15,7.555,0.5037
Sterling Shepard,WR,TB,DAL,14,6.3,0.45,3 out of 5 stars,D,10,8.3,-0.5,,,,,31,3.4,300,0.25,6.93,6.3,14,6.741,0.4815
Dyami Brown,WR,WAS,PHI,11,5.9,0.536,2 out of 5 stars,F,10,8.3,-2.4,,,,,25,2.5,400,0.2,5.442,5.9,11,5.579,0.5072
Tyler Lockett,WR,SEA,MIN,11,5.6,0.509,3 out of 5 stars,F,10,8.3,-2.7,,,,,21,2.3,450,0.181818182,4.779454545,5.6,11,5.026,0.4569
Malik Washington,WR,MIA,SF,10,6.1,0.61,3 out of 5 stars,D-,10,8.3,0,,,,,29,2.7,290,0.256410256,6.370615385,6.1,10,6.289,0.6289
Adonai Mitchell,WR,IND,TEN,10,5.3,0.53,2 out of 5 stars,F,10,8.3,0,,,,,24,1.7,400,0.2,4.888,5.3,10,5.012,0.5012
Trey McBride,TE,ARI,CAR,26,12.6,0.485,3 out of 5 stars,A+,10,6.2,0.4,,,,,68,6.5,115,0.465116279,14.0852093,12.6,26,13.64,0.5246
George Kittle,TE,SF,MIA,25,11.4,0.456,2 out of 5 stars,A,10,6.2,0.346666667,,,,,66,4.6,150,0.4,12.356,11.4,25,12.069,0.4828
T J Hockenson,TE,MIN,SEA,16,8.6,0.538,4 out of 5 stars,B,10,6.2,0.4,,,,,44,4.5,260,0.277777778,8.7325,8.6,16,8.693,0.5433
Brenton Strange,TE,JAC,LV,12,8,0.667,4 out of 5 stars,B-,10,6.2,0.9,,,,,37,3.6,300,0.25,7,8,12,7.3,0.6083
Jake Ferguson,TE,DAL,TB,12,7.4,0.617,3 out of 5 stars,C-,10,6.2,0.6,,,,,38,4.4,260,0.277777778,7.666666667,7.4,12,7.587,0.6322
Dalton Kincaid,TE,BUF,NE,16,7.2,0.45,3 out of 5 stars,C-,10,6.2,0.166666667,,,,,35,3.5,220,0.3125,7.125,7.2,16,7.148,0.4467
