Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD,,Pas Yds,Pas TD,Ints,Yds,Rec,TDs,Pred TDs,FPTS,FPROS,Salary,Avg,PPD
Darnell Mooney,WR,ATL,WAS,21,9.5,0.452,3 out of 5 stars,C+,10,6.2,0.3,,,,,46,3.6,205,0.327868853,9.173967213,9.5,21,9.272,0.4415
Adam Thielen,WR,CAR,TB,25,10.5,0.42,2 out of 5 stars,B,10,6.2,0.286666667,,,,,60,5.5,210,0.322580645,11.68516129,10.5,25,11.33,0.4532
Brandin Cooks,WR,DAL,PHI,15,6.8,0.453,2 out of 5 stars,C-,10,6.2,0.12,,,,,34,3.4,400,,5.508,6.8,15,5.896,0.393
Brock Bowers,TE,LV,NO,26,12,0.462,4 out of 5 stars,A+,10,5.7,0.39375,,,,,71,6.5,165,0.377358491,13.79241509,12,26,13.255,0.5098
George Kittle,TE,SF,DET,25,11.8,0.472,4 out of 5 stars,A,10,5.7,0.406666667,,,,,67,5.4,129,0.436681223,13.16530131,11.8,25,12.756,0.5102
Sam LaPorta,TE,DET,SF,20,10,0.5,4 out of 5 stars,B+,10,5.7,0.43,,,,,44,3.5,175,0.363636364,9.154909091,10,20,9.408,0.4704
T J Hockenson,TE,MIN,GB,15,8.2,0.547,3 out of 5 stars,B-,10,5.7,0.5,,,,,42,4.4,200,0.333333333,9.236,8.2,15,8.925,0.595
Dalton Kincaid,TE,BUF,NYJ,15,7.1,0.473,3 out of 5 stars,C-,10,5.7,0.28,,,,,33,3.5,240,0.294117647,7.505058824,7.1,15,7.384,0.4922
Chig Okonkwo,TE,TEN,JAC,14,8.1,0.579,4 out of 5 stars,C+,10,5.7,0.6,,,,,38,4.3,300,0.25,8.176,8.1,14,8.153,0.5824
Jake Ferguson,TE,DAL,PHI,11,7.1,0.646,3 out of 5 stars,C,10,5.7,1.4,,,,,41,4.6,330,0.23255814,8.540604651,7.1,11,8.108,0.7371
Kyle Pitts,TE,ATL,WAS,10,5.7,0.57,3 out of 5 stars,F,10,5.7,0,,,,,19,2.2,350,0.222222222,4.792666667,5.7,10,5.065,0.5065
