Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD,,Pas Yds,Pas TD,Ints,Yds,Rec,TDs,Pred TDs,FPTS,FPROS,Salary,Avg,PPD
Chase Brown,RB,CIN,DAL,31,16.3,0.526,4 out of 5 stars,A,10,13.8,0.119047619,,,,,100,3.7,-185,0.649122807,17.18989474,16.3,31,16.923,0.5459
James Conner,RB,ARI,SEA,28,13.8,0.493,3 out of 5 stars,A-,10,13.8,0,,,,,76,2.8,-140,0.583333333,13.684,13.8,28,13.719,0.49
Rico Dowdle,RB,DAL,CIN,25,13.5,0.54,4 out of 5 stars,B+,10,13.8,-0.02,,,,,85,3.2,-110,0.523809524,14.44771429,13.5,25,14.163,0.5665
Najee Harris,RB,PIT,CLE,25,13.1,0.524,4 out of 5 stars,B,10,13.8,-0.046666667,,,,,75,2.2,-125,0.555555556,13.04866667,13.1,25,13.064,0.5226
Tony Pollard,RB,TEN,JAC,24,14,0.583,3 out of 5 stars,A-,10,13.8,0.014285714,,,,,85,2.7,-120,0.545454546,14.31836364,14,24,14.223,0.5926
Tyrone Tracy Jr,RB,NYG,NO,24,12.8,0.533,5 out of 5 stars,B,10,13.8,-0.071428571,,,,,74,2.3,115,0.465116279,12.3692093,12.8,24,12.498,0.5208
D Andre Swift,RB,CHI,SF,22,12.2,0.555,4 out of 5 stars,B,10,13.8,-0.133333333,,,,,66,2.3,100,0.5,11.764,12.2,22,11.895,0.5407
Jaylen Warren,RB,PIT,CLE,18,9.8,0.544,4 out of 5 stars,C+,10,13.8,-0.5,,,,,50,2.6,200,0.333333333,9.076,9.8,18,9.293,0.5163
Isiah Pacheco,RB,KC,LAC,17,10.3,0.606,1 out of 5 stars,B-,10,13.8,-0.5,,,,,59,2.2,100,0.5,10.966,10.3,17,10.766,0.6333
Travis Etienne Jr,RB,JAC,TEN,15,9.9,0.66,3 out of 5 stars,C+,10,13.8,-0.78,,,,,49,2.3,155,0.392156863,9.211411765,9.9,15,9.418,0.6279
Zach Charbonnet,RB,SEA,ARI,13,8.4,0.646,2 out of 5 stars,C+,10,13.8,-1.8,,,,,85,3.6,-120,0.545454546,14.82236364,8.4,13,12.896,0.992
Jerome Ford,RB,CLE,PIT,12,6.6,0.55,3 out of 5 stars,C,10,13.8,-3.6,,,,,33,1.6,400,0.2,5.786,6.6,12,6.03,0.5025
Gus Edwards,RB,LAC,KC,11,8.5,0.773,2 out of 5 stars,C,10,13.8,-5.3,,,,,39,1.1,165,0.377358491,7.376415094,8.5,11,7.713,0.7012
Isaac Guerendo,RB,SF,CHI,10,13.8,1.38,3 out of 5 stars,B+,10,13.8,0,,,,,87,2.3,-138,0.579831933,14.54563025,13.8,10,14.322,1.4322
Braelon Allen,RB,NYJ,MIA,10,7.5,0.75,4 out of 5 stars,C,10,13.8,0,,,,,67,2.4,110,0.476190476,11.76028571,7.5,10,10.482,1.0482
Puka Nacua,WR,LA,BUF,33,14.2,0.43,4 out of 5 stars,A+,10,13.8,0.017391304,,,,,79,6.5,150,0.4,14.798,14.2,33,14.619,0.443
Justin Jefferson,WR,MIN,ATL,32,15.1,0.472,5 out of 5 stars,A+,10,13.8,0.059090909,,,,,83,6.3,-110,0.523809524,15.97171429,15.1,32,15.71,0.4909
A J Brown,WR,PHI,CAR,31,14.6,0.471,2 out of 5 stars,A+,10,13.8,0.038095238,,,,,77,5.3,105,0.487804878,14.52512195,14.6,31,14.548,0.4693
Mike Evans,WR,TB,LV,29,13.3,0.459,3 out of 5 stars,A+,10,13.8,-0.026315789,,,,,74,5.4,100,0.5,14.348,13.3,29,14.034,0.4839
Cooper Kupp,WR,LA,BUF,29,13.1,0.452,4 out of 5 stars,A,10,13.8,-0.036842105,,,,,66,6.5,150,0.4,13.42,13.1,29,13.324,0.4594
CeeDee Lamb,WR,DAL,CIN,28,12.7,0.454,3 out of 5 stars,A,10,13.8,-0.061111111,,,,,67,6.5,155,0.392156863,13.47141176,12.7,28,13.24,0.4729
Tyreek Hill,WR,MIA,NYJ,27,12.3,0.456,3 out of 5 stars,A,10,13.8,-0.088235294,,,,,61,4.7,120,0.454545455,12.26163636,12.3,27,12.273,0.4546
Calvin Ridley,WR,TEN,JAC,25,12.2,0.488,4 out of 5 stars,A,10,13.8,-0.106666667,,,,,65,4.5,195,0.338983051,11.76932203,12.2,25,11.899,0.4759
Marvin Harrison Jr,WR,ARI,SEA,23,11,0.478,3 out of 5 stars,B+,10,13.8,-0.215384615,,,,,51,4.2,170,0.37037037,10.33577778,11,23,10.535,0.458
Brian Thomas Jr,WR,JAC,TEN,23,10.6,0.461,2 out of 5 stars,B,10,13.8,-0.246153846,,,,,62,4.4,240,0.294117647,11.08305882,10.6,23,10.938,0.4756
Deebo Samuel Sr,WR,SF,CHI,18,10.3,0.572,3 out of 5 stars,B,10,13.8,-0.4375,,,,,55,3.7,150,0.4,10.686,10.3,18,10.57,0.5872
Elijah Moore,WR,CLE,PIT,17,8.7,0.512,2 out of 5 stars,C+,10,13.8,-0.728571429,,,,,50,4.5,275,0.266666667,9.676,8.7,17,9.383,0.552
Xavier Worthy,WR,KC,LAC,17,8.3,0.488,4 out of 5 stars,C,10,13.8,-0.785714286,,,,,37,3.3,275,0.266666667,7.626,8.3,17,7.828,0.4605
Wan Dale Robinson,WR,NYG,NO,14,6.9,0.493,3 out of 5 stars,C,10,13.8,-1.725,,,,,31,4.4,310,0.243902439,7.447560976,6.9,14,7.283,0.5202
Michael Wilson,WR,ARI,SEA,13,6.9,0.531,3 out of 5 stars,C,10,13.8,-2.3,,,,,30,2.6,310,0.243902439,6.333560976,6.9,13,6.503,0.5003
Parker Washington,WR,JAC,TEN,13,6.8,0.523,2 out of 5 stars,C,10,13.8,-2.333333333,,,,,30,2.6,325,0.235294118,6.273647059,6.8,13,6.432,0.4947
Joshua Palmer,WR,LAC,KC,11,6.5,0.591,4 out of 5 stars,C-,10,13.8,-7.3,,,,,34,2.5,350,0.222222222,6.550666667,6.5,11,6.535,0.5941
Ricky Pearsall,WR,SF,CHI,11,5.3,0.482,3 out of 5 stars,D,10,13.8,-8.5,,,,,18,1.7,330,0.23255814,4.478604651,5.3,11,4.725,0.4295
David Njoku,TE,CLE,PIT,19,9.9,0.521,4 out of 5 stars,B+,10,5.2,0.522222222,,,,,47,5.5,230,0.303030303,9.731590909,9.9,19,9.782,0.5148
T J Hockenson,TE,MIN,ATL,17,9,0.529,3 out of 5 stars,B,10,5.2,0.542857143,,,,,40,3.7,250,0.285714286,7.564285714,9,17,7.995,0.4703
Tucker Kraft,TE,GB,DET,16,8,0.5,3 out of 5 stars,C+,10,5.2,0.466666667,,,,,35,3.5,195,0.338983051,7.283898305,8,16,7.499,0.4687
Pat Freiermuth,TE,PIT,CLE,14,7.5,0.536,3 out of 5 stars,C,10,5.2,0.575,,,,,30,3.8,295,,4.9,7.5,14,5.68,0.4057
Will Dissly,TE,LAC,KC,13,7.8,0.6,3 out of 5 stars,C,10,5.2,0.866666667,,,,,35,3.7,350,,5.35,7.8,13,6.085,0.4681
Kyle Pitts,TE,ATL,MIN,12,6.4,0.533,3 out of 5 stars,C-,10,5.2,0.6,,,,,32,2.7,330,,4.55,6.4,12,5.105,0.4254
Juwan Johnson,TE,NO,NYG,11,6.4,0.582,3 out of 5 stars,D+,10,5.2,1.2,,,,,33,3.2,330,,4.9,6.4,11,5.35,0.4864
Brock Bowers,TE,LV,TB,27,13.2,0.489,3 out of 5 stars,A+,10,5.2,0.470588235,,,,,71,7.3,145,,10.75,13.2,27,11.485,0.4254
