"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"54","Odell Beckham Jr.",BAL,"vs. DET","3 out of 5 stars","D+","6.0","","","",""
"55","Skyy Moore",KC,"vs. LAC","4 out of 5 stars","D+","5.8","","","",""
"56","Jameson Williams",DET,"at BAL","3 out of 5 stars","D+","5.2","","","",""
"57","DeVante Parker",NE,"vs. BUF","4 out of 5 stars","D+","5.1","","","",""
"58","Darnell Mooney",CHI,"vs. LV","3 out of 5 stars","D","5.1","","","",""
"59","Nelson Agholor",BAL,"vs. DET","3 out of 5 stars","D","5.0","","","",""
"60","Brandon Powell",MIN,"vs. SF","3 out of 5 stars","D","4.6","","","",""
"61","Marvin Mims Jr.",DEN,"vs. GB","2 out of 5 stars","D","4.5","","","",""
"62","Jalin Hyatt",NYG,"vs. WAS","4 out of 5 stars","D","4.4","","","",""
"63","Quentin Johnston",LAC,"at KC","3 out of 5 stars","D","4.3","","","",""
"64","Trey Palmer",TB,"vs. ATL","2 out of 5 stars","D","4.3","","","",""
"65","Braxton Berrios",MIA,"at PHI","3 out of 5 stars","D-","4.3","","","",""
"66","Marquez Valdes-Scantling",KC,"vs. LAC","4 out of 5 stars","D-","4.2","","","",""
"67","Rashod Bateman",BAL,"vs. DET","3 out of 5 stars","D-","4.1","","","",""
"68","Donovan Peoples-Jones",CLE,"at IND","4 out of 5 stars","D-","4.0","","","",""
"69","Jauan Jennings",SF,"at MIN","3 out of 5 stars","F","3.9","","","",""
"70","Alec Pierce",IND,"vs. CLE","1 out of 5 stars","F","3.8","","","",""
"71","Kalif Raymond",DET,"at BAL","3 out of 5 stars","F","3.8","","","",""
"72","Deonte Harty",BUF,"at NE","3 out of 5 stars","F","3.8","","","",""
"73","Mack Hollins",ATL,"at TB","3 out of 5 stars","F","3.7","","","",""
"74","Brandon Johnson",DEN,"vs. GB","2 out of 5 stars","F","3.2","","","",""
"75","Olamide Zaccheaus",PHI,"vs. MIA","3 out of 5 stars","F","3.2","","","",""
"76","Allen Robinson II",PIT,"at LAR","2 out of 5 stars","F","3.2","","","",""
"77","JuJu Smith-Schuster",NE,"vs. BUF","4 out of 5 stars","F","3.1","","","",""
"78","Deven Thompkins",TB,"vs. ATL","2 out of 5 stars","F","3.1","","","",""
"79","Tyquan Thornton",NE,"vs. BUF","4 out of 5 stars","F","3.0","","","",""
"80","Calvin Austin III",PIT,"at LAR","2 out of 5 stars","F","2.9","","","",""
"81","Isaiah Hodgins",NYG,"vs. WAS","4 out of 5 stars","F","2.7","","","",""
"82","Tyler Scott",CHI,"vs. LV","3 out of 5 stars","F","2.3","","","",""
"83","Van Jefferson",ATL,"at TB","3 out of 5 stars","F","2.3","","","",""
"84","Jamal Agnew",JAC,"at NO","3 out of 5 stars","F","2.2","","","",""
"85","Tre Tucker",LV,"at CHI","4 out of 5 stars","F","2.2","","","",""
"86","Dyami Brown",WAS,"at NYG","3 out of 5 stars","F","2.2","","","",""
"87","Justyn Ross",KC,"vs. LAC","4 out of 5 stars","F","2.1","","","",""
"88","Trent Sherfield",BUF,"at NE","3 out of 5 stars","F","2.1","","","",""
"89","Demario Douglas",NE,"vs. BUF","4 out of 5 stars","F","2.1","","","",""
"90","Cedrick Wilson Jr.",MIA,"at PHI","3 out of 5 stars","F","2.0","","","",""
"91","Parris Campbell",NYG,"vs. WAS","4 out of 5 stars","F","1.9","","","",""
"92","Hunter Renfrow",LV,"at CHI","4 out of 5 stars","F","1.9","","","",""
"93","Dontayvion Wicks",GB,"at DEN","4 out of 5 stars","F","1.9","","","",""
"94","Ray-Ray McCloud III",SF,"at MIN","3 out of 5 stars","F","1.8","","","",""
"95","Jake Bobo",SEA,"vs. ARI","4 out of 5 stars","F","1.8","","","",""
"96","Derius Davis",LAC,"at KC","3 out of 5 stars","F","1.7","","","",""
"97","Khalil Shakir",BUF,"at NE","3 out of 5 stars","F","1.7","","","",""
"98","Marquise Goodwin",CLE,"at IND","4 out of 5 stars","F","1.6","","","",""
"99","Marvin Jones Jr.",DET,"at BAL","3 out of 5 stars","F","1.5","","","",""
"100","Devin Duvernay",BAL,"vs. DET","3 out of 5 stars","F","1.5","","","",""
"101","KhaDarel Hodge",ATL,"at TB","3 out of 5 stars","F","1.5","","","",""
"102","Scott Miller",ATL,"at TB","3 out of 5 stars","F","1.4","","","",""
"103","Greg Dortch",ARI,"at SEA","3 out of 5 stars","F","1.4","","","",""
"104","Mecole Hardman Jr.",KC,"vs. LAC","4 out of 5 stars","F","1.3","","","",""
"105","Tim Jones",JAC,"at NO","3 out of 5 stars","F","1.3","","","",""
"106","Isaiah McKenzie",IND,"vs. CLE","1 out of 5 stars","F","1.1","","","",""
"107","Robbie Chosen",MIA,"at PHI","3 out of 5 stars","F","1.1","","","",""
"108","Zach Pascal",ARI,"at SEA","3 out of 5 stars","F","1.1","","","",""
"109","Julio Jones",PHI,"vs. MIA","3 out of 5 stars","F","0.8","","","",""
"110","David Bell",CLE,"at IND","4 out of 5 stars","F","0.8","","","",""
"111","DeAndre Carter",LV,"at CHI","4 out of 5 stars","F","0.8","","","",""
"112","Ben Skowronek",LAR,"vs. PIT","3 out of 5 stars","F","0.7","","","",""
"113","Ronnie Bell",SF,"at MIN","3 out of 5 stars","F","0.7","","","",""
"114","Velus Jones Jr.",CHI,"vs. LV","3 out of 5 stars","F","0.6","","","",""
"115","Keith Kirkwood",NO,"vs. JAC","3 out of 5 stars","F","0.6","","","",""
"116","Byron Pringle",WAS,"at NYG","3 out of 5 stars","F","0.6","","","",""
"117","Amari Rodgers",FA,"-","-","F","0.6","","","",""
"118","Cedric Tillman",CLE,"at IND","4 out of 5 stars","F","0.6","","","",""
"119","Trent Taylor",CHI,"vs. LV","3 out of 5 stars","F","0.6","","","",""
"120","Samori Toure",GB,"at DEN","4 out of 5 stars","F","0.4","","","",""
"121","Lil'Jordan Humphrey",DEN,"vs. GB","2 out of 5 stars","F","0.4","","","",""
"122","Sterling Shepard",NYG,"vs. WAS","4 out of 5 stars","F","0.4","","","",""
"123","Keelan Doss",LAC,"at KC","3 out of 5 stars","F","0.4","","","",""
"124","N'Keal Harry",MIN,"vs. SF","3 out of 5 stars","F","0.4","","","",""
"125","Elijah Cooks",JAC,"at NO","3 out of 5 stars","F","0.4","","","",""
"126","Richie James Jr.",KC,"vs. LAC","4 out of 5 stars","F","0.4","","","",""
"127","Austin Trammell",LAR,"vs. PIT","3 out of 5 stars","F","0.4","","","",""
"128","Chase Claypool",MIA,"at PHI","3 out of 5 stars","F","0.4","","","",""
"129","Rakim Jarrett",TB,"vs. ATL","2 out of 5 stars","F","0.3","","","",""
"130","Cody Thompson",SEA,"vs. ARI","4 out of 5 stars","F","0.2","","","",""
"131","Trishton Jackson",MIN,"vs. SF","3 out of 5 stars","F","0.2","","","",""
"132","Britain Covey",PHI,"vs. MIA","3 out of 5 stars","F","0.0","","","",""
"133","Miles Boykin",PIT,"at LAR","2 out of 5 stars","F","0.0","","","",""
"134","Jamison Crowder",WAS,"at NYG","3 out of 5 stars","F","0.0","","","",""
"135","Demarcus Robinson",LAR,"vs. PIT","3 out of 5 stars","F","0.0","","","",""
"136","Lynn Bowden Jr.",NO,"vs. JAC","3 out of 5 stars","F","0.0","","","",""
"137","Gunner Olszewski",FA,"-","-","F","0.0","","","",""
"138","Jalen Nailor",MIN,"vs. SF","3 out of 5 stars","F","0.0","","","",""
"139","Sederrick Cunningham",FA,"-","-","F","0.0","","","",""
"140","Antoine Green",DET,"at BAL","3 out of 5 stars","F","0.0","","","",""
"141","Juwann Winfree",IND,"vs. CLE","1 out of 5 stars","F","0.0","","","",""
"142","Devon Allen",PHI,"vs. MIA","3 out of 5 stars","F","0.0","","","",""
