"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"56","Elijah Mitchell",SF,"2 out of 5 stars","3 out of 5 stars","52.0","-12"
"58","Samaje Perine",DEN,"2 out of 5 stars","2 out of 5 stars","52.0","-21"
"62","Dalvin Cook",NYJ,"4 out of 5 stars","4 out of 5 stars","50.6","-36"
"63","Kendre Miller",NO,"3 out of 5 stars","3 out of 5 stars","50.6","-7"
"59","Jamaal Williams",NO,"3 out of 5 stars","3 out of 5 stars","50.0","-25"
"60","Latavius Murray",BUF,"2 out of 5 stars","2 out of 5 stars","50.0","+11"
"65","Pierre Strong Jr.",CLE,"3 out of 5 stars","3 out of 5 stars","49.5","+43"
"64","Craig Reynolds",DET,"4 out of 5 stars","2 out of 5 stars","46.0","-"
"66","Matt Breida",NYG,"3 out of 5 stars","2 out of 5 stars","43.0","+41"
"67","Clyde Edwards-Helaire",KC,"5 out of 5 stars","4 out of 5 stars","42.0","-4"
"68","Jordan Mason",SF,"2 out of 5 stars","3 out of 5 stars","41.0","+23"
"71","Ronnie Rivers",LAR,"3 out of 5 stars","3 out of 5 stars","40.7","-"
"69","Salvon Ahmed",MIA,"2 out of 5 stars","2 out of 5 stars","40.0","-"
"70","Keaontay Ingram",ARI,"2 out of 5 stars","2 out of 5 stars","39.0","+19"
"74","Michael Carter",NYJ,"4 out of 5 stars","4 out of 5 stars","37.4","-2"
"75","Deuce Vaughn",DAL,"3 out of 5 stars","4 out of 5 stars","36.3","-24"
"76","Keaton Mitchell",BAL,"3 out of 5 stars","4 out of 5 stars","36.3","-"
"72","Damien Harris",BUF,"2 out of 5 stars","2 out of 5 stars","36.0","-23"
"73","Zamir White",LV,"2 out of 5 stars","3 out of 5 stars","35.0","-8"
"77","Cordarrelle Patterson",ATL,"3 out of 5 stars","5 out of 5 stars","33.0","-17"
"79","Sean Tucker",TB,"4 out of 5 stars","4 out of 5 stars","33.0","+5"
