"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"140","Velus Jones Jr.",CHI,"vs. MIN","3 out of 5 stars","F","0.5","","","",""
"141","Kayshon Boutte",NE,"at LV","4 out of 5 stars","F","0.5","","","",""
"142","Xavier Hutchinson",HOU,"vs. NO","3 out of 5 stars","F","0.5","","","",""
"143","Ben Skowronek",LAR,"vs. ARI","4 out of 5 stars","F","0.4","","","",""
"144","Cedric Tillman",CLE,"vs. SF","3 out of 5 stars","F","0.3","","","",""
"145","Robbie Chosen",MIA,"vs. CAR","3 out of 5 stars","F","0.2","","","",""
"146","Mecole Hardman Jr.",NYJ,"vs. PHI","3 out of 5 stars","F","0.2","","","",""
"147","Britain Covey",PHI,"at NYJ","2 out of 5 stars","F","0.2","","","",""
"148","Greg Dortch",ARI,"at LAR","2 out of 5 stars","F","0.0","","","",""
"149","Rakim Jarrett",TB,"vs. DET","3 out of 5 stars","F","0.0","","","",""
"150","Irvin Charles",NYJ,"vs. PHI","3 out of 5 stars","F","0.0","","","",""
"151","Antoine Green",DET,"at TB","3 out of 5 stars","F","0.0","","","",""
"152","Amari Rodgers",IND,"at JAC","3 out of 5 stars","F","0.0","","","",""
"153","Lynn Bowden Jr.",NO,"at HOU","4 out of 5 stars","F","0.0","","","",""
"154","Jamison Crowder",WAS,"at ATL","2 out of 5 stars","F","0.0","","","",""
